Fitur;Ukuran;Bit;Akurasi
BSIF;15x15;10;99,167
BSIF;17x17;10;98,333
BSIF;17x17;11;97,917
BSIF;17x17;6;97,5
BSIF;17x17;9;97,5
BSIF;17x17;12;96,667
BSIF;15x15;11;96,667
BSIF;15x15;7;96,25
BSIF;15x15;9;95,833
BSIF;15x15;8;95,417
BSIF;17x17;7;95
BSIF;17x17;8;94,167
BSIF;15x15;6;93,75
BSIF;13x13;10;93,333
BSIF;17x17;5;93,333
BSIF;13x13;11;92,917
BSIF;13x13;9;92,917
BSIF;13x13;7;92,5
BSIF;11x11;7;92,083
BSIF;13x13;8;92,083
BSIF;11x11;10;91,667
BSIF;11x11;9;91,667
BSIF;13x13;12;91,25
BSIF;15x15;12;90,833
BSIF;15x15;5;90,833
BSIF;13x13;6;90
BSIF;11x11;11;89,583
BSIF;11x11;12;88,75
BSIF;9x9;10;87,083
BSIF;11x11;8;85,417
BSIF;9x9;7;85
BSIF;7x7;5;85
BSIF;9x9;8;84,167
BSIF;11x11;5;82,5
BSIF;13x13;5;82,5
BSIF;11x11;6;82,083
BSIF;9x9;9;82,083
BSIF;9x9;11;80,833
BSIF;9x9;5;80
BSIF;9x9;12;77,917
BSIF;7x7;10;75,417
BSIF;7x7;7;74,167
BSIF;5x5;8;74,167
BSIF;7x7;8;70,833
BSIF;5x5;10;70,417
BSIF;7x7;9;69,583
BSIF;5x5;7;69,583
BSIF;5x5;9;69,583
BSIF;7x7;6;69,167
BSIF;7x7;12;69,167
BSIF;9x9;6;68,75
BSIF;5x5;5;66,667
BSIF;5x5;6;65,833
BSIF;7x7;11;63,333
BSIF;5x5;11;62,5
BSIF;5x5;12;53,75
BSIF;3x3;5;41,667
BSIF;3x3;6;39,583
BSIF;3x3;8;36,25
BSIF;3x3;7;27,5
