Fitur;Ukuran;Bit;PCA;Kernel;C;Akurasi;Macro F1-score
BSIF;17x17;10;0,6;rbf;100;99,479;99,476
BSIF;17x17;10;0,8;rbf;10;99,479;99,476
BSIF;17x17;10;N/A;rbf;100;99,479;99,476
BSIF;17x17;10;0,6;rbf;10;99,479;99,476
BSIF;17x17;10;0,8;rbf;100;99,479;99,476
BSIF;17x17;10;N/A;rbf;10;99,479;99,476
BSIF;17x17;10;0,8;rbf;1;99,427;99,421
BSIF;17x17;10;N/A;rbf;1;99,427;99,421
BSIF;17x17;10;0,8;linear;100;99,375;99,372
BSIF;17x17;10;N/A;linear;100;99,375;99,372
BSIF;17x17;10;0,8;linear;10;99,375;99,372
BSIF;17x17;10;N/A;linear;10;99,375;99,372
BSIF;17x17;10;0,6;rbf;1;99,375;99,368
BSIF;17x17;10;N/A;linear;1;99,323;99,318
BSIF;17x17;10;0,6;linear;1;99,323;99,318
BSIF;17x17;10;0,8;linear;1;99,271;99,265
BSIF;17x17;10;N/A;poly;10;99,271;99,262
BSIF;17x17;10;N/A;poly;100;99,271;99,262
BSIF;17x17;10;N/A;poly;1;99,271;99,262
BSIF;17x17;11;0,8;linear;1;99,219;99,207
BSIF;17x17;11;N/A;linear;1;99,219;99,207
BSIF;17x17;9;0,6;rbf;10;99,219;99,192
BSIF;17x17;9;0,6;rbf;100;99,219;99,192
BSIF;17x17;11;0,8;rbf;1;99,167;99,165
BSIF;17x17;10;0,4;rbf;10;99,167;99,16
BSIF;17x17;10;0,4;rbf;100;99,167;99,16
BSIF;17x17;10;0,6;linear;100;99,167;99,159
BSIF;17x17;10;0,6;linear;10;99,167;99,159
BSIF;17x17;11;0,6;linear;1;99,167;99,155
BSIF;17x17;10;0,4;rbf;1;99,167;99,151
BSIF;15x15;10;N/A;linear;1;99,167;99,138
BSIF;17x17;9;0,8;linear;1;99,167;99,134
BSIF;17x17;11;0,8;rbf;100;99,115;99,107
BSIF;17x17;11;0,8;rbf;10;99,115;99,107
BSIF;17x17;11;N/A;rbf;1;99,115;99,106
BSIF;17x17;11;N/A;rbf;10;99,115;99,104
BSIF;17x17;11;N/A;rbf;100;99,115;99,104
BSIF;15x15;10;0,8;linear;1;99,115;99,086
BSIF;17x17;9;0,8;rbf;10;99,115;99,081
BSIF;17x17;9;0,8;rbf;100;99,115;99,081
BSIF;17x17;9;N/A;linear;1;99,115;99,073
BSIF;17x17;11;0,6;linear;10;99,062;99,048
BSIF;17x17;11;0,6;linear;100;99,062;99,048
BSIF;17x17;9;N/A;rbf;10;99,062;99,034
BSIF;17x17;9;N/A;rbf;100;99,062;99,034
BSIF;17x17;9;N/A;linear;100;99,062;99,026
BSIF;17x17;9;N/A;linear;10;99,062;99,026
BSIF;15x15;10;0,8;rbf;10;99,01;99,001
BSIF;15x15;10;0,8;rbf;100;99,01;99,001
BSIF;17x17;11;N/A;poly;10;99,01;98,997
BSIF;17x17;11;N/A;poly;1;99,01;98,997
BSIF;17x17;11;N/A;poly;100;99,01;98,997
BSIF;17x17;11;0,6;rbf;10;99,01;98,996
BSIF;17x17;11;0,8;linear;10;99,01;98,996
BSIF;17x17;11;N/A;linear;10;99,01;98,996
BSIF;17x17;11;0,6;rbf;100;99,01;98,996
BSIF;17x17;11;0,8;linear;100;99,01;98,996
BSIF;17x17;11;N/A;linear;100;99,01;98,996
BSIF;15x15;10;N/A;linear;100;99,01;98,995
BSIF;15x15;10;N/A;linear;10;99,01;98,995
BSIF;17x17;11;0,4;linear;1;99,01;98,993
BSIF;15x15;10;0,6;linear;1;99,01;98,98
BSIF;17x17;9;0,8;linear;100;99,01;98,973
BSIF;17x17;9;0,8;linear;10;99,01;98,973
BSIF;17x17;10;0,4;linear;100;98,958;98,954
BSIF;17x17;10;0,4;linear;10;98,958;98,954
BSIF;17x17;11;0,6;rbf;1;98,958;98,95
BSIF;15x15;10;0,6;rbf;100;98,958;98,949
BSIF;15x15;10;0,6;rbf;10;98,958;98,949
BSIF;15x15;10;0,8;linear;100;98,958;98,946
BSIF;15x15;10;0,8;linear;10;98,958;98,946
BSIF;15x15;10;N/A;rbf;100;98,958;98,938
BSIF;15x15;10;N/A;rbf;10;98,958;98,938
BSIF;17x17;9;0,6;linear;1;98,958;98,93
BSIF;17x17;9;0,8;rbf;1;98,958;98,919
BSIF;17x17;10;0,4;linear;1;98,906;98,892
BSIF;17x17;11;0,4;rbf;100;98,906;98,887
BSIF;17x17;11;0,4;rbf;10;98,906;98,887
BSIF;17x17;9;0,6;rbf;1;98,906;98,872
BSIF;17x17;9;0,6;linear;100;98,906;98,868
BSIF;17x17;9;0,6;linear;10;98,906;98,868
BSIF;17x17;9;N/A;rbf;1;98,906;98,867
BSIF;17x17;12;N/A;rbf;100;98,906;98,816
BSIF;17x17;12;N/A;rbf;10;98,906;98,816
BSIF;17x17;7;N/A;rbf;1;98,802;98,792
BSIF;17x17;7;N/A;linear;1;98,802;98,791
BSIF;15x15;10;0,8;rbf;1;98,802;98,789
