Fitur;PCA;Kernel;C;Akurasi
MTCD;0,2;linear;1;10
MTCD;0,2;linear;10;10
MTCD;0,2;linear;100;10
MTCD;0,2;poly;1;10
MTCD;0,2;poly;10;10
MTCD;0,2;poly;100;10
MTCD;0,4;linear;1;10
MTCD;0,4;linear;10;10
MTCD;0,4;linear;100;10
MTCD;0,4;poly;1;10
MTCD;0,4;poly;10;10
MTCD;0,4;poly;100;10
MTCD;0,6;linear;1;10
MTCD;0,6;poly;1;10
MTCD;0,6;poly;10;10
MTCD;0,6;poly;100;10
MTCD;0,8;linear;1;10
MTCD;0,8;poly;1;10
MTCD;0,8;poly;10;10
MTCD;0,8;poly;100;10
MTCD;N/A;linear;1;10
MTCD;N/A;poly;1;10
MTCD;N/A;poly;10;10
MTCD;N/A;poly;100;10
MTCD;0,2;rbf;1;0
MTCD;0,2;rbf;10;0
MTCD;0,2;rbf;100;0
MTCD;0,2;sigmoid;1;0
MTCD;0,2;sigmoid;10;0
MTCD;0,2;sigmoid;100;0
MTCD;0,4;rbf;1;0
MTCD;0,4;rbf;10;0
MTCD;0,4;rbf;100;0
MTCD;0,4;sigmoid;1;0
MTCD;0,4;sigmoid;10;0
MTCD;0,4;sigmoid;100;0
MTCD;0,6;linear;10;0
MTCD;0,6;linear;100;0
MTCD;0,6;rbf;1;0
MTCD;0,6;rbf;10;0
MTCD;0,6;rbf;100;0
MTCD;0,6;sigmoid;1;0
MTCD;0,6;sigmoid;10;0
MTCD;0,6;sigmoid;100;0
MTCD;0,8;linear;10;0
MTCD;0,8;linear;100;0
MTCD;0,8;rbf;1;0
MTCD;0,8;rbf;10;0
MTCD;0,8;rbf;100;0
MTCD;0,8;sigmoid;1;0
MTCD;0,8;sigmoid;10;0
MTCD;0,8;sigmoid;100;0
MTCD;N/A;linear;10;0
MTCD;N/A;linear;100;0
MTCD;N/A;rbf;1;0
MTCD;N/A;rbf;10;0
MTCD;N/A;rbf;100;0
MTCD;N/A;sigmoid;1;0
MTCD;N/A;sigmoid;10;0
MTCD;N/A;sigmoid;100;0
MTCD;N/A;poly;1;99,792 $\pm$ 0,147
MTCD;N/A;poly;10;99,792 $\pm$ 0,147
MTCD;0,8;linear;100;99,792 $\pm$ 0,208
MTCD;N/A;poly;100;99,792 $\pm$ 0,147
MTCD;0,4;linear;1;99,792 $\pm$ 0,147
MTCD;0,4;linear;10;99,792 $\pm$ 0,255
MTCD;0,4;linear;100;99,792 $\pm$ 0,255
MTCD;N/A;linear;1;99,792 $\pm$ 0,255
MTCD;0,6;linear;1;99,792 $\pm$ 0,255
MTCD;N/A;linear;100;99,792 $\pm$ 0,255
MTCD;0,6;linear;100;99,792 $\pm$ 0,255
MTCD;N/A;linear;10;99,792 $\pm$ 0,255
MTCD;0,6;linear;10;99,792 $\pm$ 0,255
MTCD;0,8;linear;10;99,792 $\pm$ 0,255
MTCD;0,8;linear;100;99,792 $\pm$ 0,255
MTCD;0,8;linear;1;99,792 $\pm$ 0,255
MTCD;N/A;poly;100;99,792 $\pm$ 0,255
MTCD;N/A;poly;1;99,792 $\pm$ 0,255
MTCD;N/A;poly;10;99,792 $\pm$ 0,255
MTCD;0,4;linear;10;99,74 $\pm$ 0,173
MTCD;0,4;linear;100;99,74 $\pm$ 0,173
MTCD;0,4;linear;1;99,74 $\pm$ 0,173
MTCD;N/A;poly;100;99,74 $\pm$ 0,173
MTCD;0,6;linear;1;99,74 $\pm$ 0,271
MTCD;0,6;linear;100;99,74 $\pm$ 0,271
MTCD;N/A;poly;10;99,74 $\pm$ 0,173
MTCD;N/A;poly;1;99,74 $\pm$ 0,173
MTCD;0,6;linear;10;99,74 $\pm$ 0,271
MTCD;N/A;rbf;100;99,74 $\pm$ 0,173
MTCD;N/A;rbf;10;99,74 $\pm$ 0,173
MTCD;N/A;poly;100;99,74 $\pm$ 0,227
MTCD;N/A;poly;10;99,74 $\pm$ 0,227
