Fitur;Ukuran;Bit;PCA;Kernel;C;Akurasi
MTCD+BSIF;11x11;9;0,4;linear;1;10
MTCD+BSIF;11x11;9;0,4;linear;10;10
MTCD+BSIF;11x11;9;0,4;linear;100;10
MTCD+BSIF;11x11;9;0,6;linear;1;10
MTCD+BSIF;11x11;9;0,6;linear;10;10
MTCD+BSIF;11x11;9;0,6;linear;100;10
MTCD+BSIF;11x11;9;0,8;linear;1;10
MTCD+BSIF;11x11;9;0,8;linear;10;10
MTCD+BSIF;11x11;9;0,8;linear;100;10
MTCD+BSIF;11x11;9;N/A;linear;1;10
MTCD+BSIF;11x11;9;N/A;linear;10;10
MTCD+BSIF;11x11;9;N/A;linear;100;10
MTCD+BSIF;11x11;9;N/A;poly;1;10
MTCD+BSIF;11x11;9;N/A;poly;10;10
MTCD+BSIF;11x11;9;N/A;poly;100;10
MTCD+BSIF;11x11;7;N/A;rbf;10;10
MTCD+BSIF;11x11;7;N/A;rbf;100;10
MTCD+BSIF;11x11;5;N/A;poly;1;10
MTCD+BSIF;11x11;5;N/A;poly;10;10
MTCD+BSIF;11x11;5;N/A;poly;100;10
MTCD+BSIF;11x11;12;0,6;linear;1;10
MTCD+BSIF;11x11;12;0,6;linear;10;10
MTCD+BSIF;11x11;12;0,6;linear;100;10
MTCD+BSIF;11x11;12;N/A;rbf;10;10
MTCD+BSIF;11x11;12;N/A;rbf;100;10
MTCD+BSIF;11x11;10;0,4;linear;1;10
MTCD+BSIF;11x11;10;0,4;linear;10;10
MTCD+BSIF;11x11;10;0,4;linear;100;10
MTCD+BSIF;11x11;10;0,6;linear;1;10
MTCD+BSIF;11x11;10;0,6;linear;10;10
MTCD+BSIF;11x11;10;0,6;linear;100;10
MTCD+BSIF;11x11;10;0,8;linear;1;10
MTCD+BSIF;11x11;10;0,8;linear;10;10
MTCD+BSIF;11x11;10;0,8;linear;100;10
MTCD+BSIF;11x11;10;N/A;linear;1;10
MTCD+BSIF;11x11;10;N/A;linear;10;10
MTCD+BSIF;11x11;10;N/A;linear;100;10
MTCD+BSIF;11x11;10;N/A;poly;1;10
MTCD+BSIF;11x11;10;N/A;poly;10;10
MTCD+BSIF;11x11;10;N/A;poly;100;10
MTCD+BSIF;13x13;8;0,2;rbf;1;10
MTCD+BSIF;13x13;8;0,2;rbf;10;10
MTCD+BSIF;13x13;8;0,2;rbf;100;10
MTCD+BSIF;13x13;7;0,2;rbf;1;10
MTCD+BSIF;13x13;7;0,2;rbf;10;10
MTCD+BSIF;13x13;7;0,2;rbf;100;10
MTCD+BSIF;13x13;7;N/A;sigmoid;100;10
MTCD+BSIF;13x13;6;0,2;rbf;1;10
MTCD+BSIF;13x13;6;0,2;rbf;10;10
MTCD+BSIF;13x13;6;0,2;rbf;100;10
MTCD+BSIF;13x13;5;N/A;rbf;10;10
MTCD+BSIF;13x13;5;N/A;rbf;100;10
MTCD+BSIF;13x13;12;N/A;rbf;10;10
MTCD+BSIF;13x13;12;N/A;rbf;100;10
MTCD+BSIF;13x13;10;N/A;rbf;10;10
MTCD+BSIF;13x13;10;N/A;rbf;100;10
MTCD+BSIF;15x15;8;0,2;rbf;1;10
MTCD+BSIF;15x15;8;0,2;rbf;10;10
MTCD+BSIF;15x15;8;0,2;rbf;100;10
MTCD+BSIF;15x15;8;N/A;rbf;1;10
MTCD+BSIF;15x15;8;N/A;rbf;10;10
MTCD+BSIF;15x15;8;N/A;rbf;100;10
MTCD+BSIF;15x15;8;N/A;sigmoid;100;10
MTCD+BSIF;15x15;7;0,2;rbf;1;10
MTCD+BSIF;15x15;7;0,2;rbf;10;10
MTCD+BSIF;15x15;7;0,2;rbf;100;10
MTCD+BSIF;15x15;7;N/A;rbf;1;10
MTCD+BSIF;15x15;7;N/A;rbf;10;10
MTCD+BSIF;15x15;7;N/A;rbf;100;10
MTCD+BSIF;15x15;6;0,2;rbf;1;10
MTCD+BSIF;15x15;6;0,2;rbf;10;10
MTCD+BSIF;15x15;6;0,2;rbf;100;10
MTCD+BSIF;15x15;6;N/A;rbf;1;10
MTCD+BSIF;15x15;6;N/A;rbf;10;10
MTCD+BSIF;15x15;6;N/A;rbf;100;10
MTCD+BSIF;15x15;11;0,2;rbf;1;10
MTCD+BSIF;15x15;11;0,2;rbf;10;10
MTCD+BSIF;15x15;11;0,2;rbf;100;10
