Fitur;Ukuran;Bit;PCA;Akurasi;Macro F1-score
BSIF;17x17;6;0,6;100;100
BSIF;17x17;6;0,8;99,583;99,577
BSIF;17x17;6;N/A;99,583;99,577
BSIF;17x17;6;0,4;99,583;99,577
BSIF;15x15;10;0,6;99,583;99,577
BSIF;15x15;10;N/A;99,583;99,577
BSIF;15x15;10;0,8;99,583;99,577
BSIF;17x17;9;0,6;99,167;99,111
BSIF;17x17;9;N/A;99,167;99,111
BSIF;17x17;9;0,8;99,167;99,111
BSIF;15x15;10;0,4;99,167;99,074
BSIF;17x17;12;0,6;98,75;98,73
BSIF;15x15;9;0,6;98,75;98,73
BSIF;17x17;8;0,8;98,75;98,73
BSIF;17x17;8;0,4;98,75;98,73
BSIF;17x17;8;0,6;98,75;98,73
BSIF;17x17;8;N/A;98,75;98,73
BSIF;17x17;11;0,8;98,75;98,651
BSIF;17x17;11;0,6;98,75;98,651
BSIF;17x17;11;N/A;98,75;98,651
BSIF;15x15;7;0,8;98,333;98,307
BSIF;15x15;7;N/A;98,333;98,307
BSIF;17x17;9;0,4;98,333;98,265
BSIF;13x13;9;0,6;98,333;98,265
BSIF;13x13;9;N/A;98,333;98,265
BSIF;13x13;9;0,8;98,333;98,265
BSIF;17x17;6;0,2;98,333;98,265
BSIF;17x17;12;N/A;98,333;98,265
BSIF;17x17;12;0,8;98,333;98,265
BSIF;15x15;9;N/A;98,333;98,265
BSIF;15x15;9;0,8;98,333;98,265
BSIF;17x17;7;0,4;97,917;97,905
BSIF;17x17;7;N/A;97,917;97,905
BSIF;17x17;7;0,8;97,917;97,905
BSIF;17x17;7;0,6;97,917;97,905
BSIF;13x13;9;0,4;97,917;97,799
BSIF;17x17;10;0,8;97,917;97,799
BSIF;17x17;10;0,6;97,917;97,799
BSIF;17x17;10;N/A;97,917;97,799
BSIF;15x15;11;N/A;98,333;97,778
BSIF;15x15;9;0,4;97,917;97,699
BSIF;17x17;11;0,4;97,917;97,598
BSIF;15x15;8;N/A;97,5;97,482
BSIF;15x15;8;0,8;97,5;97,482
BSIF;15x15;7;0,6;97,5;97,474
BSIF;17x17;11;0,2;97,5;97,381
BSIF;15x15;11;0,8;97,917;97,354
BSIF;15x15;11;0,6;97,917;97,354
BSIF;17x17;5;0,4;97,5;97,233
BSIF;17x17;10;0,2;97,5;97,233
BSIF;17x17;10;0,4;97,5;97,233
BSIF;17x17;12;0,4;97,5;97,196
BSIF;15x15;8;0,6;97,083;97,059
BSIF;17x17;5;0,6;97,083;96,852
BSIF;13x13;10;0,6;96,667;96,499
BSIF;13x13;10;N/A;96,667;96,492
BSIF;13x13;10;0,8;96,667;96,492
BSIF;15x15;11;0,4;97,083;96,466
BSIF;15x15;10;0,2;97,083;96,461
BSIF;15x15;9;0,2;96,667;96,436
BSIF;17x17;5;N/A;96,667;96,429
BSIF;17x17;5;0,8;96,667;96,429
BSIF;13x13;11;0,4;96,25;96,239
BSIF;13x13;11;0,6;96,25;96,239
BSIF;13x13;11;N/A;96,25;96,159
BSIF;13x13;11;0,8;96,25;96,159
BSIF;11x11;9;0,4;96,25;96,112
BSIF;11x11;9;N/A;96,25;96,112
BSIF;11x11;9;0,8;96,25;96,112
BSIF;11x11;9;0,6;96,25;96,112
BSIF;15x15;6;N/A;96,25;96,069
BSIF;15x15;6;0,8;96,25;96,069
BSIF;17x17;9;0,2;96,667;95,985
BSIF;15x15;7;0,4;95,833;95,817
BSIF;15x15;8;0,4;95,833;95,784
BSIF;11x11;12;0,8;95,833;95,733
BSIF;11x11;12;N/A;95,833;95,733
BSIF;13x13;10;0,4;95,833;95,577
BSIF;17x17;5;0,2;96,25;95,498
BSIF;15x15;12;N/A;95,417;95,372
BSIF;13x13;8;N/A;95,833;95,254
BSIF;11x11;12;0,6;95,417;95,23
BSIF;15x15;12;0,8;95;94,962
BSIF;15x15;12;0,6;95;94,962
BSIF;13x13;8;0,8;95,417;94,847
BSIF;13x13;8;0,6;95,417;94,847
BSIF;15x15;11;0,2;95,417;94,762
BSIF;13x13;12;0,6;95;94,735
BSIF;15x15;6;0,6;95;94,72
BSIF;13x13;6;N/A;95;94,649
BSIF;13x13;6;0,6;95;94,649
BSIF;13x13;6;0,8;95;94,649
BSIF;17x17;8;0,2;94,583;94,366
BSIF;13x13;12;0,8;94,583;94,317
BSIF;13x13;12;N/A;94,583;94,317
BSIF;13x13;7;0,6;94,583;94,291
BSIF;13x13;7;0,8;94,583;94,291
BSIF;13x13;7;N/A;94,583;94,291
BSIF;11x11;10;0,4;94,167;94,09
BSIF;17x17;12;0,2;94,583;94,016
BSIF;11x11;10;0,8;94,167;93,953
BSIF;13x13;12;0,4;94,167;93,921
BSIF;13x13;7;0,4;94,167;93,821
BSIF;15x15;12;0,4;94,167;93,787
BSIF;11x11;11;N/A;94,167;93,727
BSIF;11x11;10;N/A;93,75;93,534
BSIF;11x11;10;0,6;93,75;93,53
BSIF;13x13;6;0,4;94,167;93,44
BSIF;11x11;11;0,6;93,75;93,413
BSIF;11x11;11;0,8;93,75;93,303
BSIF;11x11;7;N/A;93,75;93,294
BSIF;11x11;7;0,8;93,75;93,294
BSIF;11x11;12;0,4;93,333;93,235
BSIF;17x17;7;0,2;93,333;93,18
BSIF;11x11;9;0,2;93,333;93,136
BSIF;15x15;8;0,2;93,333;93,101
BSIF;11x11;8;0,8;93,75;93,043
BSIF;11x11;8;N/A;93,75;93,043
BSIF;13x13;9;0,2;93,75;93,039
BSIF;13x13;8;0,4;93,333;92,764
BSIF;9x9;10;0,6;92,917;92,593
BSIF;11x11;7;0,6;93,333;92,543
BSIF;11x11;8;0,6;92,917;92,266
BSIF;9x9;10;0,8;92,5;92,17
BSIF;11x11;7;0,4;92,917;92,141
BSIF;9x9;10;N/A;92,5;92,13
BSIF;13x13;10;0,2;92,5;91,938
BSIF;15x15;7;0,2;92,083;91,837
BSIF;13x13;11;0,2;92,083;91,609
BSIF;15x15;6;0,4;92,083;91,594
BSIF;11x11;11;0,4;92,083;91,473
BSIF;9x9;10;0,4;91,25;90,966
BSIF;11x11;8;0,4;91,667;90,89
BSIF;15x15;5;N/A;92,083;90,831
BSIF;15x15;5;0,8;92,083;90,804
BSIF;15x15;12;0,2;91,25;90,749
BSIF;11x11;10;0,2;91,25;90,703
BSIF;15x15;5;0,6;91,667;90,392
BSIF;13x13;6;0,2;90,833;90,27
BSIF;11x11;12;0,2;90;89,365
BSIF;11x11;11;0,2;90,417;88,949
BSIF;15x15;6;0,2;89,167;88,685
BSIF;9x9;9;N/A;88,75;88,223
BSIF;9x9;9;0,8;88,75;88,223
BSIF;15x15;5;0,4;89,167;87,742
BSIF;15x15;5;0,2;88,75;87,593
BSIF;13x13;8;0,2;89,167;87,579
BSIF;13x13;12;0,2;87,917;87,478
BSIF;13x13;7;0,2;88,333;87,381
BSIF;9x9;9;0,6;87,917;87,379
BSIF;9x9;9;0,4;87,083;86,534
BSIF;13x13;5;0,6;88,333;86,355
BSIF;9x9;7;N/A;86,25;85,81
BSIF;11x11;6;0,8;87,083;85,68
BSIF;11x11;6;N/A;87,083;85,68
BSIF;13x13;5;0,8;87,5;85,556
BSIF;13x13;5;N/A;87,5;85,556
BSIF;9x9;10;0,2;86,667;85,456
BSIF;13x13;5;0,4;87,083;85,453
BSIF;9x9;8;N/A;86,25;85,095
BSIF;9x9;12;0,6;86,25;84,951
BSIF;9x9;7;0,6;85,417;84,839
BSIF;9x9;7;0,8;85;84,636
BSIF;9x9;7;0,4;85;84,526
BSIF;9x9;12;N/A;85,833;84,449
BSIF;11x11;5;0,8;86,25;84,431
BSIF;9x9;8;0,8;85,417;84,36
BSIF;11x11;6;0,6;85,833;84,271
BSIF;11x11;5;N/A;85,833;84,092
BSIF;9x9;12;0,8;85,417;84,032
BSIF;9x9;11;N/A;84,583;83,751
BSIF;9x9;11;0,8;84,583;83,751
BSIF;11x11;8;0,2;84,583;83,34
BSIF;11x11;5;0,6;85,417;83,325
