Fitur;Ukuran;Bit;PCA;Kernel;C;Akurasi
BSIF;17x17;10;0,6;rbf;10;99,531 $\pm$ 0,4
BSIF;17x17;10;0,6;rbf;100;99,531 $\pm$ 0,4
BSIF;17x17;10;0,8;rbf;100;99,479 $\pm$ 0,376
BSIF;17x17;10;N/A;rbf;100;99,479 $\pm$ 0,376
BSIF;17x17;10;0,8;rbf;10;99,479 $\pm$ 0,376
BSIF;17x17;10;N/A;rbf;10;99,479 $\pm$ 0,376
BSIF;17x17;10;N/A;rbf;1;99,427 $\pm$ 0,271
BSIF;17x17;10;0,8;rbf;1;99,427 $\pm$ 0,4
BSIF;17x17;10;0,6;rbf;1;99,375 $\pm$ 0,442
BSIF;17x17;10;N/A;linear;100;99,375 $\pm$ 0,295
BSIF;17x17;10;0,8;linear;10;99,375 $\pm$ 0,295
BSIF;17x17;10;N/A;linear;10;99,375 $\pm$ 0,295
BSIF;17x17;10;0,8;linear;100;99,375 $\pm$ 0,295
BSIF;17x17;10;N/A;linear;1;99,323 $\pm$ 0,372
BSIF;17x17;10;0,6;linear;1;99,323 $\pm$ 0,372
BSIF;17x17;10;N/A;poly;1;99,271 $\pm$ 0,477
BSIF;17x17;10;N/A;poly;100;99,271 $\pm$ 0,477
BSIF;17x17;10;N/A;poly;10;99,271 $\pm$ 0,477
BSIF;17x17;10;0,8;linear;1;99,271 $\pm$ 0,429
BSIF;17x17;10;0,4;rbf;100;99,271 $\pm$ 0,233
BSIF;17x17;10;0,4;rbf;10;99,271 $\pm$ 0,233
BSIF;17x17;9;0,6;rbf;100;99,219 $\pm$ 0,451
BSIF;17x17;9;0,6;rbf;10;99,219 $\pm$ 0,451
BSIF;17x17;11;0,6;linear;1;99,219 $\pm$ 0,426
BSIF;17x17;11;0,8;linear;1;99,219 $\pm$ 0,426
BSIF;17x17;11;N/A;linear;1;99,219 $\pm$ 0,426
BSIF;17x17;9;0,8;linear;1;99,167 $\pm$ 0,442
BSIF;15x15;10;N/A;linear;1;99,167 $\pm$ 0,531
BSIF;17x17;10;0,6;linear;10;99,167 $\pm$ 0,295
BSIF;17x17;10;0,6;linear;100;99,167 $\pm$ 0,295
BSIF;17x17;11;0,8;rbf;1;99,167 $\pm$ 0,39
BSIF;17x17;9;N/A;linear;1;99,115 $\pm$ 0,518
BSIF;17x17;9;0,8;rbf;10;99,115 $\pm$ 0,451
BSIF;17x17;9;0,8;rbf;100;99,115 $\pm$ 0,451
BSIF;15x15;10;0,8;linear;1;99,115 $\pm$ 0,475
BSIF;17x17;10;0,4;rbf;1;99,115 $\pm$ 0,451
BSIF;17x17;11;N/A;rbf;10;99,115 $\pm$ 0,4
BSIF;17x17;11;N/A;rbf;100;99,115 $\pm$ 0,4
BSIF;17x17;11;N/A;rbf;1;99,115 $\pm$ 0,4
