Feature;PCA;SVM Kernel;SVM C;Acc
MTCD;0,6;linear;100;95,729 ± 0,865
MTCD;N/A;linear;100;95,729 ± 0,865
MTCD;0,8;linear;100;95,729 ± 0,865
MTCD;0,4;linear;100;95,625 ± 1,169
MTCD;0,4;linear;10;95,625 ± 1,259
MTCD;N/A;linear;10;95,625 ± 1,141
MTCD;0,8;linear;10;95,625 ± 1,141
MTCD;0,6;linear;10;95,625 ± 1,141
MTCD;N/A;rbf;100;95,521 ± 0,96
MTCD;N/A;rbf;10;95,208 ± 1,206
MTCD;N/A;poly;100;95,208 ± 0,329
MTCD;N/A;poly;10;95,052 ± 0,451
MTCD;0,4;rbf;10;94,896 ± 1,462
MTCD;0,4;rbf;100;94,844 ± 1,329
MTCD;0,8;rbf;100;94,792 ± 1,451
MTCD;0,6;rbf;100;94,792 ± 1,451
MTCD;0,8;rbf;10;94,688 ± 1,401
MTCD;0,6;rbf;10;94,688 ± 1,401
MTCD;0,2;linear;10;94,271 ± 1,047
MTCD;0,2;linear;100;94,115 ± 0,888
MTCD;0,2;rbf;100;93,542 ± 1,792
MTCD;0,2;rbf;10;93,333 ± 1,358
MTCD;N/A;poly;1;92,188 ± 0,902
MTCD;0,4;rbf;1;91,719 ± 1,076
MTCD;0,8;rbf;1;91,458 ± 1,031
MTCD;0,6;rbf;1;91,458 ± 1,031
MTCD;0,8;linear;1;91,146 ± 2,091
MTCD;N/A;linear;1;91,146 ± 2,091
MTCD;0,6;linear;1;91,094 ± 2,027
MTCD;0,4;linear;1;90,833 ± 1,982
MTCD;0,2;rbf;1;89,531 ± 0,992
MTCD;0,2;linear;1;89,01 ± 2,162
MTCD;0,4;poly;100;87,5 ± 2,902
MTCD;0,8;poly;100;87,344 ± 2,896
MTCD;0,6;poly;100;87,292 ± 2,932
MTCD;0,2;poly;100;86,771 ± 2,963
MTCD;0,8;poly;10;82,76 ± 3,431
MTCD;0,4;poly;10;82,708 ± 3,445
MTCD;0,6;poly;10;82,708 ± 3,502
MTCD;0,2;poly;10;81,875 ± 2,928
MTCD;N/A;rbf;1;78,438 ± 1,417
MTCD;0,6;sigmoid;10;68,073 ± 2,212
MTCD;0,8;sigmoid;10;67,917 ± 2,119
MTCD;0,4;sigmoid;10;67,396 ± 2,147
MTCD;0,2;poly;1;66,25 ± 4,026
MTCD;0,8;poly;1;66,042 ± 4,605
MTCD;0,4;poly;1;65,99 ± 4,553
MTCD;0,6;poly;1;65,99 ± 4,694
MTCD;0,8;sigmoid;1;65,729 ± 3,652
MTCD;0,6;sigmoid;1;65,729 ± 3,652
MTCD;0,4;sigmoid;1;65,052 ± 3,225
MTCD;0,6;sigmoid;100;63,281 ± 3,063
MTCD;0,8;sigmoid;100;63,229 ± 2,874
MTCD;0,2;sigmoid;10;62,917 ± 2,783
MTCD;0,4;sigmoid;100;62,812 ± 3,456
MTCD;0,2;sigmoid;1;62,24 ± 4,265
MTCD;0,2;sigmoid;100;58,49 ± 2,599
MTCD;N/A;sigmoid;1;24,375 ± 2,76
MTCD;N/A;sigmoid;10;23,594 ± 3,242
MTCD;N/A;sigmoid;100;17,865 ± 2,111
